Codigo,Nombre,CodigoEstado,Estado,CodigoLicitacion,Descripcion,CodigoTipo,Tipo,TipoMoneda,CodigoEstadoProveedor,EstadoProveedor,TieneItems,PromedioCalificacion,CantidadEvaluacion,Descuentos,Cargos,TotalNeto,PorcentajeIva,Impuestos,Total,Financiamiento,Pais,TipoDespacho,FormaPago,Fechas.FechaCreacion,Fechas.FechaEnvio,Fechas.FechaAceptacion,Fechas.FechaCancelacion,Fechas.FechaUltimaModificacion,Comprador.CodigoOrganismo,Comprador.NombreOrganismo,Comprador.RutUnidad,Comprador.CodigoUnidad,Comprador.NombreUnidad,Comprador.Actividad,Comprador.DireccionUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.Pais,Comprador.NombreContacto,Comprador.CargoContacto,Comprador.FonoContacto,Comprador.MailContacto,Proveedor.Codigo,Proveedor.Nombre,Proveedor.Actividad,Proveedor.CodigoSucursal,Proveedor.NombreSucursal,Proveedor.RutSucursal,Proveedor.Direccion,Proveedor.Comuna,Proveedor.Region,Proveedor.Pais,Proveedor.NombreContacto,Proveedor.CargoContacto,Proveedor.FonoContacto,Proveedor.MailContacto,Items.Cantidad,Items.Listado,CategoriaProducto,FechaProcesamiento,NombreProductoGenerico,EspecificacionComprador,EspecificacionProveedor,CodigoOrganismoPublico,NombreOrganismoPublico,Monto
5520-2499-TD26,Orden de Compra generada por Trato Directo ID 5520-182-FTD25,9,Cancelada,,"Trato directo con el proveedor EDENRED CHILE SOCIEDAD ANONIMA, R.U.T.: 96.781.350-8, para la contratación del Servicio de administración por voucher para provisión del servicio de sala cuna, por 24 meses o hasta la utilización de los recursos asignados a la contratación, lo que primero ocurra, según condiciones y términos de la Resolución Nº E0238 de fecha 08 de marzo de 2024.",16,TD,CLP,5,Cancelada,1,4.767676767676767,99,0.0,0.0,3273330.0,0.0,0.0,3273330.0,,Other,12,2,2026-04-23T06:33:11,2026-04-23T06:52:18.5,,2026-04-23T06:58:49.083,2026-04-23T06:50:00,7251,UNIVERSIDAD DE CHILE,60.910.000-1,6433,FCFM IDIEM,VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| UNIVERSIDADES| HOSPITALES Y CLINICAS,,Santiago,Región Metropolitana de Santiago,Other,Gonzalo Vergara Castillo,Analista Gestión de Proveedores,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,María Elena,Región Metropolitana de Santiago,Other,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 91111900, 'Categoria': 'Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Cuidado de niños, personas enfermas y ancianos', 'CodigoProducto': 91111901, 'Producto': 'Jardines infantiles o salas cunas', 'EspecificacionComprador': 'Mensualidad + matrícula', 'EspecificacionProveedor': 'Servicios abril 2026', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 3273330.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 0.0}]",ALIMENTACION,2026-04-23T11:26:38.063939,,,,,,
5520-2501-TD26,Orden de Compra generada por Trato Directo ID 5520-182-FTD25,4,Enviada a proveedor,,"Trato directo con el proveedor EDENRED CHILE SOCIEDAD ANONIMA, R.U.T.: 96.781.350-8, para la contratación del Servicio de administración por voucher para provisión del servicio de sala cuna, por 24 meses o hasta la utilización de los recursos asignados a la contratación, lo que primero ocurra, según condiciones y términos de la Resolución Nº E0238 de fecha 08 de marzo de 2024.",16,TD,CLP,1,Nueva orden de compra,1,4.767676767676767,99,0.0,0.0,3273330.0,0.0,0.0,3273330.0,,Other,12,2,2026-04-23T07:12:38,2026-04-23T07:17:47.75,,,2026-04-23T07:17:00,7251,UNIVERSIDAD DE CHILE,60.910.000-1,6433,FCFM IDIEM,VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| UNIVERSIDADES| HOSPITALES Y CLINICAS,,Santiago,Región Metropolitana de Santiago,Other,Gonzalo Vergara Castillo,Analista Gestión de Proveedores,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,María Elena,Región Metropolitana de Santiago,Other,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 91111900, 'Categoria': 'Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Cuidado de niños, personas enfermas y ancianos', 'CodigoProducto': 91111901, 'Producto': 'Jardines infantiles o salas cunas', 'EspecificacionComprador': 'Mensualidad + matrícula', 'EspecificacionProveedor': 'Servicios abril 2026', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 3273330.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 0.0}]",ALIMENTACION,2026-04-23T11:26:38.063939,,,,,,
5520-2500-TD26,Orden de Compra generada por Trato Directo ID 5520-182-FTD25,4,Enviada a proveedor,,"Trato directo con el proveedor EDENRED CHILE SOCIEDAD ANONIMA, R.U.T.: 96.781.350-8, para la contratación del Servicio de administración por voucher para provisión del servicio de sala cuna, por 24 meses o hasta la utilización de los recursos asignados a la contratación, lo que primero ocurra, según condiciones y términos de la Resolución Nº E0238 de fecha 08 de marzo de 2024.",16,TD,CLP,1,Nueva orden de compra,1,4.767676767676767,99,0.0,0.0,82521.0,19.0,15679.0,98200.0,,Other,12,2,2026-04-23T06:38:58,2026-04-23T07:10:40.877,,,2026-04-23T07:09:00,7251,UNIVERSIDAD DE CHILE,60.910.000-1,6433,FCFM IDIEM,VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| UNIVERSIDADES| HOSPITALES Y CLINICAS,,Santiago,Región Metropolitana de Santiago,Other,Gonzalo Vergara Castillo,Analista Gestión de Proveedores,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,María Elena,Región Metropolitana de Santiago,Other,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 91111900, 'Categoria': 'Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Cuidado de niños, personas enfermas y ancianos', 'CodigoProducto': 91111901, 'Producto': 'Jardines infantiles o salas cunas', 'EspecificacionComprador': 'Comisión (03% mensual)', 'EspecificacionProveedor': 'Servicios abril 2026', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 82521.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 0.0}]",ALIMENTACION,2026-04-23T11:26:38.063939,,,,,,
5543-9-CM26,Orden de Compra: 5543-9-CM26. Gift card Vestuario Gabinete VID,4,Enviada a proveedor,,"Orden de Compra codigo: 5543-9-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA
Gift card Vestuario Gabinete VID
Ceco: C501000010 - Funcionamiento Gabinete VID
",9,CM,CLP,1,Nueva orden de compra,1,4.767676767676767,99,58500.0,0.0,487500.0,0.0,0.0,429000.0,1000007475,CL,12,2,2026-04-22T11:29:55.06,2026-04-23T08:58:57.173,,,2026-04-23T08:59:00,7251,UNIVERSIDAD DE CHILE,60.910.000-1,6456,UCHILE Vicerrectoria de Investigacion y Desarrollo,EDUCACION SUPERIOR,"Diagonal Paraguay 265, Piso 14, Of.1404",Santiago,Región Metropolitana de Santiago,CL,Natalia Belén Erazo Navarrete,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'VESTUARIO Y CALZADO -  ', 'EspecificacionComprador': '(1964922) VESTUARIO Y CALZADO -  ', 'EspecificacionProveedor': '(1964922) VESTUARIO Y CALZADO -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 12,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 487500.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 487500.0}]",VESTUARIO_Y_CALZADO,2026-04-23T13:34:23.568249,,,,,,
1057473-139-SE26,Recarga Tarjeta de Alimentación,6,Aceptada,,"Recarga Tarjeta Alimentación abril 2026. Turno Extras, Contratos, Omisiones, Otros 

Referente Técnico: Mairon Quiroz mairon.quiroz@samu.cl

FACTURAR UNA VEZ EMITIDA RECEPCIÓN CONFORME EN PORTAL MERCADO PÚBLICO				
1.Incorporar campo 801 N° de OC.				
2.Enviar en formato XML dipresrecepcion@custodium.com				",8,SE,CLP,4,Aceptada,1,4.767676767676767,99,3193.0,0.0,63866.0,19.0,11528.0,72201.0,221,Other,22,2,2026-04-22T15:15:28.1,2026-04-22T17:10:11.283,2026-04-23T09:18:53.29,,2026-04-22T15:19:00,1549752,Centro Metropolitano de Atención Prehospitalaria,61.999.030-7,1057473,Bienes y Servicios,Servicio Público,Sin dirección Registrada para Unidad de Compra,Santiago,Región Metropolitana de Santiago,Other,Sebastián Fuentes,Profesional de Compras,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93151500, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Administración y finanzas públicas / Administración pública', 'CodigoProducto': 93151507, 'Producto': 'Procedimientos o servicios administrativos', 'EspecificacionComprador': 'Recarga Tarjeta de alimentación abril 2026\r\nTurnos extras, Contratos , Omisiones, Otros. ', 'EspecificacionProveedor': 'Recarga Tarjeta de alimentación abril 2026\r\n', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 63866.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 63866.0}]",ALIMENTACION,2026-04-23T13:34:23.568249,,,,,,
1350296-703-SE26,"CON/SUMINISTRO DE TARJETAS ELECTRÓNICAS DE ALIMENTACIÓN PARA LOS FUNCIONARIOS DEL HOSPITAL DE ALTO HOSPICIO; MES MAYO 2026; ID N°1350296-26-LR24, FR 2024-867-12",6,Aceptada,1350296-26-LR24,"CON/SUMINISTRO DE TARJETAS ELECTRÓNICAS DE ALIMENTACIÓN PARA LOS FUNCIONARIOS DEL HOSPITAL DE ALTO HOSPICIO; MES MAYO 2026; ID N°1350296-26-LR24, FR 2024-867-12
",8,SE,CLP,4,Aceptada,1,4.767676767676767,99,3705882.0,0.0,88235294.0,19.0,16060588.0,100590000.0,1759,CL,7,2,2026-04-16T14:32:31.127,2026-04-22T16:40:02.587,2026-04-23T09:18:46.28,,2026-04-16T14:55:00,1934667,HOSPITAL DE ALTO HOSPICIO,65.228.694-1,1350296,ABASTECIMIENTO HAH,,CALLE ALEMANIA N° 3240,Alto Hospicio,Región de Tarapacá  ,CL,CARMEN ZAMORA,PROFESIONAL ADMINISTRACIÓN DE CONTRATOS,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 39121000, 'Categoria': 'Artículos eléctricos y de iluminación / Equipamiento y artículos eléctricos / Equipamiento para distribución y transformación eléctrica', 'CodigoProducto': 39121011, 'Producto': 'Fuentes de alimentación continua', 'EspecificacionComprador': 'CONVENIO DE SUMINISTROS DE TARJETAS ELECTRONICA DE ALIMENTACION PARA LOS(AS) FUNCIONARIOS(AS) DEL HOSPITAL DE ALTO HOSPICIO POR 12 MESES MES MAYO 2026', 'EspecificacionProveedor': 'CONVENIO DE SUMINISTROS DE TARJETAS ELECTRONICA DE ALIMENTACION PARA LOS(AS) FUNCIONARIOS(AS) DEL HOSPITAL DE ALTO HOSPICIO POR 12 MESES MES MAYO 2026', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 88235294.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 88235294.0}]",ALIMENTACION,2026-04-23T13:34:23.568249,,,,,,
3446-91-CM26,"22 01 001""PARA PERSONAS"" CC11000350011",12,Recepción Conforme,,"ADQUISICIÓN DE TARJETA DE ALIMENTACIÓN PARA BENEFICIO DEL PERSONAL.
SIC SIGLE N.°343167
OC SIGLE N.°336084",9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,44228.0,0.0,884564.0,19.0,159664.0,1000000.0,FONDOS INTERNOS,CL,12,2,2026-04-16T15:56:35.26,2026-04-16T16:12:23.937,2026-04-17T11:31:49.61,,2026-04-17T10:26:00,111870,DIVISION LOGISTICA DEL EJERCITO,61.101.028-1,4367,Escuela de Montaña - ESCMÑA,GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA| COLEGIOS PROFESIONALES,"Ruta CH60, Kilómetro 80, sin número, Río Blanco",Los Andes,Región de Valparaíso ,CL,GOEVANNI BESAREZ NANJARÍ,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 884564.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 884564.0}]",ALIMENTACION,2026-04-23T14:47:05.933330,,,,,,
1057511-484-SE26,ALIMENTACIÓN PARA FUNCIONARIOS ABRIL 2026,12,Recepción Conforme,1057511-17-LR25,"Res. Ex. 2685 de 29-09-2025 ID: 1057511-17-LR25
Requisitos al momento de emitir una factura: 1.- Dirección envió “DTE” a la casilla de intercambio dipresrecepcion@custodium.com el DTE que no se encuentre direccionado a dicha casilla será reclamado de forma automática transcurrida 72 horas desde la recepción del DTE en SII. (Envió formato XML) 2.- El DTE debe contener el campo 801 o campo de referencia con el número de la orden de compra correctamente. Ej. 1058104-XX-SE22 (Con Mayúscula) 3.- Orden de compra en estado aceptada en www.mercadopublico.cl 4.- Método de pago de un DTE “al crédito"" 5.- Al momento de facturar debe considerar los siguientes puntos: • Modelo ( si corresponde) • N° Lote/ serie • Fecha de vencimiento si corresponde. • Fecha de elaboración si corresponde • Fecha de elaboración si corresponde",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,428574.0,0.0,14527941.0,19.0,2678880.0,16778247.0,,CL,7,2,2026-04-07T12:10:18.56,2026-04-07T12:15:40.537,2026-04-07T13:07:20.143,,2026-04-07T12:13:00,7137,HOSPITAL COMUNITARIO DE SALUD FAMILIAR DE BULNES,61.607.003-7,1057511,Bienes y Servicios,Servicio Público,BALMACEDA N° 431 BULNES.,* ,Región del Ñuble,CL,CAMILA PAZ ARIAS INOSTROZA,Ejecutivo de Compra,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'ALIMENTACIÓN PARA FUNCIONARIOS JORNADA LABORAL DIURNA ABRIL 2026', 'EspecificacionProveedor': 'ALIMENTACIÓN PARA FUNCIONARIOS JORNADA LABORAL DIURNA ABRIL 2026', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 14527941.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 14527941.0}]",ALIMENTACION,2026-04-23T14:47:05.933330,,,,,,
1350767-52-CM26,Orden de Compra: 1350767-52-CM26,12,Recepción Conforme,,Orden de Compra codigo: 1350767-52-CM26 dirigida a EDENRED CHILE SOCIEDAD ANONIMA,9,CM,CLP,7,Recepción Conforme,1,4.767676767676767,99,176913.0,0.0,3538257.0,19.0,638655.0,4000000.0,600190/55/2026,CL,12,2,2026-04-22T15:37:48.027,2026-04-22T15:50:15.92,2026-04-22T16:55:00.33,,2026-04-22T15:50:00,111870,DIVISION LOGISTICA DEL EJERCITO,61.981.210-7,1350767,Jef Adm y Logística - Campo Militar Cachapoal,ADQUISICONES,"General Baquedano 768, JAL.Camp. Militar Cachapoal",Rancagua,Región del Libertador General Bernardo O´Higgins,CL,Andres Zerega Vargas,,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,"RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.| SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERA| COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O AR| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.",27623,EDENRED CHILE S.A.,96.781.350-8,AV ANDRES BELLO N° 2687,,,CL,,Contacto,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 0, 'Categoria': '', 'CodigoProducto': 0, 'Producto': 'ALIMENTACIÓN -  ', 'EspecificacionComprador': '(1964920) ALIMENTACIÓN -  ', 'EspecificacionProveedor': '(1964920) ALIMENTACIÓN -   ; Región Metropolitana de Santiago; Santiago; Direccion no aplica a productos virtuales; DESCUENTO 5,0%', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 3538257.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 3538257.0}]",ALIMENTACION,2026-04-23T14:47:05.933330,,,,,,
1057508-1557-SE26,RECARGA TARJETA ALIMENTACION MEDICOS EN FORMACION,12,Recepción Conforme,1057508-35-LR25,"RECARGA TARJETA ALIMENTACION MEDICOS EN FORMACION,  RESOLUCION EXENTA 3DN°2708 DEL 12/06/2025, ID 1057508-35-LR25

 MARZO 2026
-	Dirección envió documento tributario electrónico “DTE” a la casilla de intercambio en SII es  dipresrecepcion@custodium.com , el DTE que no se encuentre direccionado a dicha casilla de ""intercambio en SII"" será reclamado de forma automática transcurrida 48 horas desde la recepción del DTE en SII. 
-	El DTE debe contener el campo 801 o campo de referencia con el número de la orden de compra correctamente, esto dado que el sistema se encuentra integrado con mercado público, SIGFE y SII. 
-	Orden de compra en estado aceptada en Mercado Público.
",8,SE,CLP,7,Recepción Conforme,1,4.767676767676767,99,192139.0,0.0,5056303.0,19.0,924191.0,5788355.0,,Other,7,2,2026-04-16T15:46:35.24,2026-04-20T10:43:49.173,2026-04-21T10:19:14.81,,2026-04-16T15:49:00,6932,SERVICIO DE SALUD NUBLE,61.607.000-2,1057508,Bienes y Servicios,Servicio Público,Sin dirección Registrada para Unidad de Compra,Chillán,Región del Ñuble,Other,Ruth Elena Saavedra Cádiz,Jefa Unidad Adquisiciones SSÑ,,,27693,EDENRED CHILE SOCIEDAD ANONIMA,RESTAURANTES| OTROS TIPOS DE INTERMEDIACION MONETA,27623,EDENRED CHILE S.A.,96.781.350-8,"Avenida Andres Bello # 2687, piso 13.",Las Condes,Región Metropolitana de Santiago,CL,YASMIN GUERRA,ADMINISTRATIVA MERCADO PUBLICO,,,1,"[{'Correlativo': 1, 'CodigoCategoria': 93131600, 'Categoria': 'Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Ayuda y asistencia humanitaria / Política, planificación y programas de alimentación y nutrición', 'CodigoProducto': 93131608, 'Producto': 'Servicios de suministro de alimentos', 'EspecificacionComprador': 'RECARGA TARJETA ALIMENTACION', 'EspecificacionProveedor': 'RECARGA TARJETA ALIMENTACION - MEDICOS EN FORMACION (MARZO 2026)', 'Cantidad': 1.0, 'Unidad': None, 'Moneda': 'CLP', 'PrecioNeto': 5056303.0, 'TotalCargos': 0.0, 'TotalDescuentos': 0.0, 'TotalImpuestos': 0.0, 'Total': 5056303.0}]",ALIMENTACION,2026-04-23T15:36:13.371440,,,,,,
